componente;MAT;CURSO
908149;9148;
908150;16043;
908150;12031;
908151;16043;
908151;12031;
908152;16043;
908152;12031;
908153;16043;
908153;12031;
908154;16043;
908154;12367;
908154;12031;
908154;9148;
908155;16043;
908155;12031;
908156;16043;
908156;12031;
908157;16043;
908157;12031;
908159;16043;
908159;12031;
908161;16043;
908161;12031;
908167;12031;
908167;16043;
908170;16043;
908173;12031;
908173;16043;
909056;11179;
909056;17330;
909056;12031;
909056;5324;
909057;27010;
909057;12031;
909058;27010;
909058;12031;
909059;27010;
909059;12031;
909060;8677;
909060;12031;
909060;13550;
909061;27010;
909061;12031;
909062;8677;
909062;12031;
909063;8677;
909063;12031;
909063;13550;
910081;13216;
910081;8212;
910083;13216;
910083;8212;
910084;13216;
910084;8212;
910102;13216;
910102;8212;
910102;25691;
910102;6793;
910102;26865;
910103;13216;
910103;8212;
910103;25691;
910105;13216;
910105;8212;
910105;25691;
910105;17719;
910106;8212;
910106;13216;
910106;25691;
910107;8212;
910107;13216;
910107;17719;
910108;13216;
910108;8212;
910108;8146;
910108;25691;
910110;13216;
910110;8212;
910111;13216;
910111;8212;
910111;17719;
910112;8212;
910112;13216;
910113;13216;
910113;8212;
910113;17719;
910114;13216;
910114;8212;
910115;8212;
910116;13216;
910116;8212;
910117;8212;
910117;13216;
910118;8212;
910118;13216;
910119;8212;
910119;13216;
910120;8212;
910120;13216;
910121;13216;
910121;8212;
910121;25691;
910121;27678;
910122;8212;
910122;13216;
910124;8212;
910124;13216;
910125;13216;
910125;8212;
910125;25691;
910127;13216;
910127;8212;
910128;13216;
910128;8212;
910128;27678;
910130;13216;
910130;8212;
910130;25691;
910131;13216;
910131;8212;
911029;19116;
912052;13777;
912052;15921;
912052;13690;
912052;13550;
912093;10320;
912093;17818;
912105;14556;
912105;13636;
912105;11575;
912105;21371;
912105;11865;
912107;21668;
912107;21371;
912107;13636;
912107;17525;
912107;20390;
912107;10482;
912107;5324;
912107;10320;
912107;13550;
912107;17927;
912107;20014;
912107;15805;
912107;11575;
912107;10900;
912107;27664;
912107;12367;
912107;15400;
912108;20390;
912108;15805;
912108;14606;
912108;11865;
912110;13777;
912110;15921;
912110;5786;
912110;10320;
912111;17330;
912111;5786;
912111;19978;
912112;13777;
912112;5786;
912112;10320;
912113;17330;
912113;5786;
912113;11179;
912113;10320;
912113;19978;
912114;5786;
912115;21668;
912115;21371;
912115;13636;
912115;20390;
912115;17818;
912115;14556;
912115;11179;
912115;5324;
912116;17330;
912116;5786;
912116;11179;
912116;21371;
912118;17330;
912118;5786;
912119;11179;
912119;5786;
912119;17818;
912119;21371;
912120;13636;
912120;15805;
912120;8212;
912120;20390;
912120;14556;
912120;11865;
912120;13216;
912120;10900;
912120;10482;
912120;5324;
912121;14556;
912121;21668;
912121;13636;
912121;21371;
912121;17525;
912121;5324;
912121;20390;
912121;11865;
912122;21371;
912122;10900;
912122;11865;
912122;13636;
912122;10482;
912122;17818;
912122;20390;
912122;21668;
912122;11575;
912122;5324;
912122;17525;
912123;13636;
912123;14556;
912123;10900;
912124;13636;
912124;14556;
912124;11865;
912126;5324;
912126;5786;
912126;14556;
912126;20390;
912129;14556;
912129;13636;
912129;17818;
912129;21371;
912129;5324;
912129;20390;
912130;15921;
912130;13777;
912130;20014;
912132;13636;
912132;17525;
912132;14556;
912132;21371;
912132;10482;
912132;20390;
912132;15805;
912132;11865;
912133;11575;
912133;13636;
912133;13550;
912134;13636;
912134;11575;
912134;13550;
912134;26637;
912134;14556;
912139;13636;
912139;11575;
912139;17818;
912139;14556;
912140;13636;
912140;5786;
912140;20390;
912140;14556;
912140;5324;
912140;17818;
912141;11575;
912141;14556;
912141;21371;
912141;5786;
912141;13636;
912141;10320;
912141;17818;
912143;21371;
912143;10900;
912143;11865;
912143;13636;
912143;10482;
912143;17818;
912143;21668;
912143;5324;
912143;17525;
912144;13636;
912144;15921;
912144;13777;
912144;19978;
912144;20014;
912145;13636;
912145;5786;
912145;14556;
912146;13636;
912146;21371;
912146;11865;
912146;11575;
912147;13636;
912147;17818;
912147;14556;
912147;21371;
912147;5324;
913048;27629;
913048;17818;
913048;11179;
913048;21668;
913064;21668;
913064;11179;
913064;17818;
913065;21668;
913065;11179;
913065;17818;
913066;21668;
913066;11179;
913066;17818;
913066;14606;
913071;21668;
913071;11179;
913071;17818;
913072;21668;
913072;14606;
913072;11179;
913072;17818;
913074;17818;
913074;11179;
913074;21668;
913075;17818;
913075;21668;
913075;11179;
913075;5786;
913075;17330;
913075;27629;
913076;27629;
913076;15805;
913076;11865;
913076;20390;
913076;17818;
913077;15805;
913077;20390;
913077;14606;
913077;11865;
913078;27629;
913078;21668;
913078;17818;
913078;11179;
913078;27664;
913079;17818;
913079;11179;
913079;21668;
913079;5786;
913080;21668;
913080;17818;
913080;11179;
913080;27664;
913081;17818;
913081;11179;
913081;5786;
913081;21668;
913082;27664;
913082;11179;
913082;21668;
913082;17818;
913083;21668;
913083;17818;
913083;11179;
913084;27629;
913084;21668;
913084;17818;
913084;5786;
913084;11179;
913085;17818;
913085;11179;
913085;5786;
913085;21668;
913086;21668;
913086;14606;
913086;11179;
913086;17818;
913087;27629;
913087;11179;
913087;17818;
913088;21668;
913088;11179;
913088;17818;
913089;21668;
913089;11179;
913089;17818;
913090;27629;
913090;17818;
913090;11179;
913090;21668;
913092;27664;
913092;21668;
913092;11179;
913092;17818;
913094;27664;
913094;11179;
913094;17818;
913094;21668;
914002;15127;
914002;20131;
914002;9458;
914002;11583;
