ANO;BIMESTRE;COMPONENTE;CURSO;QT
2025;3;918121;919;209
2025;3;941047;941;17
2025;3;956013;941;87
2025;3;963009;941;16
2025;3;926075;951;349
2025;4;999207;951;107
2025;4;912132;912;363
2025;4;966025;966;51
2025;3;904099;904;9
2025;4;904101;904;3
2025;3;907112;904;16
2025;3;910108;902;14
2025;4;910118;902;7
2025;4;999216;946;48
2025;4;999240;987;247
2025;4;926013;926;122
2025;3;905056;905;37
2025;3;999240;959;47
2025;3;934062;972;1
2025;3;908126;972;1
2025;3;941037;952;195
2025;3;908073;908;1
2025;3;913094;913;72
2025;4;919082;919;68
2025;3;919107;919;47
2025;4;919109;919;47
2025;4;675001;675;39
2025;3;918114;675;65
2025;4;919081;675;59
2025;3;912133;963;53
2025;3;904094;930;7
2025;3;905054;930;9
2025;4;913077;952;53
2025;4;912115;962;11
2025;3;918043;918;51
2025;3;908049;908;1
2025;3;949000;919;22
2025;4;907108;904;3
2025;4;999206;904;2
2025;4;947044;947;105
2025;3;999206;947;95
2025;4;999207;947;91
2025;4;919098;919;62
2025;4;999227;942;9
2025;4;999139;942;9
2025;4;908130;915;31
2025;4;918057;918;54
2025;4;906083;915;16
2025;4;999205;915;16
2025;3;904117;904;5
2025;3;999201;904;8
2025;4;906083;906;13
2025;3;999202;953;141
2025;3;986009;986;54
2025;3;999207;906;13
2025;3;951018;951;78
2025;3;912077;913;56
2025;3;999204;918;56
2025;3;918114;941;177
2025;4;999210;975;8
2025;4;918115;956;35
2025;4;918111;919;141
2025;3;947002;947;141
2025;3;934002;937;31
2025;3;934056;937;23
2025;3;967021;975;40
2025;4;918121;948;711
2025;3;999200;948;804
2025;3;960021;960;35
2025;3;935013;935;7
2025;3;999211;953;1
2025;3;941004;941;17
2025;3;904099;924;20
2025;4;906088;906;27
2025;4;906089;906;27
2025;3;999204;953;165
2025;4;999205;953;155
2025;3;907114;925;38
2025;4;973018;953;89
2025;3;999209;953;92
2025;4;999217;946;22
2025;3;918016;918;28
2025;4;999210;949;29
2025;3;934058;934;43
2025;3;907112;910;52
2025;3;910112;910;38
2025;4;912115;956;22
2025;3;918115;956;40
2025;4;950029;950;12
2025;3;999205;950;14
2025;3;999209;950;11
2025;3;999202;998;27
2025;3;918019;918;38
2025;3;904072;914;2
2025;3;918122;997;152
2025;3;912126;965;19
2025;3;925109;911;21
2025;3;999207;918;28
2025;4;947007;947;58
2025;3;900014;965;30
2025;3;999203;965;13
2025;4;966028;967;91
2025;3;999217;967;201
2025;3;913083;913;67
2025;4;951017;951;17
2025;4;951018;951;19
2025;4;953075;953;137
2025;3;919023;919;4
2025;4;906086;906;9
2025;3;919027;919;6
2025;4;999204;912;250
2025;3;912129;913;83
2025;3;999212;926;38
2025;3;675005;675;21
2025;4;919095;675;19
2025;3;999239;901;2
2025;3;905045;905;8
2025;3;930003;905;2
2025;3;980225;905;3
2025;3;999160;910;2
2025;3;906060;907;49
2025;3;919082;999;15
2025;3;919083;999;10
2025;4;941040;999;11
2025;3;999203;999;10
2025;3;999212;964;4
2025;4;999208;954;29
2025;3;999209;954;29
2025;3;907085;916;1
2025;3;912126;963;53
2025;3;980238;901;1
2025;3;918003;919;24
2025;3;918091;919;34
2025;3;999160;906;2
2025;3;907050;907;6
2025;3;912145;954;52
2025;3;999209;938;8
2025;3;935000;936;1
2025;3;936002;936;1
2025;4;946025;946;93
2025;3;999211;946;69
2025;4;999212;946;67
2025;3;900014;973;71
2025;4;999207;941;47
2025;3;907119;993;22
2025;4;999207;993;17
2025;4;961019;977;82
2025;4;977002;977;47
2025;3;904078;905;2
2025;4;908139;948;105
2025;3;904095;914;38
2025;3;904107;914;12
2025;4;999205;971;7
2025;3;918123;997;45
2025;3;999206;997;43
2025;3;999209;997;23
2025;4;912123;941;11
2025;4;941048;941;11
2025;3;907055;907;6
2025;3;942040;942;13
2025;3;912101;913;33
2025;3;910102;951;123
2025;4;937013;951;79
2025;3;999204;951;93
2025;3;910106;910;17
2025;3;910121;910;9
2025;4;910130;910;15
2025;3;904106;905;15
2025;4;999202;965;22
2025;4;999203;965;21
2025;4;904100;924;1
2025;3;907108;924;2
2025;4;926061;987;147
2025;4;949006;967;25
2025;4;999240;967;26
2025;3;953062;972;172
2025;3;906052;908;3
2025;3;916015;917;1
2025;4;919033;919;10
2025;4;994003;994;19
2025;3;905023;905;1
2025;4;967026;999;19
2025;3;916031;917;2
2025;3;908145;920;7
2025;3;908095;915;11
2025;3;907111;908;6
2025;3;999212;908;7
2025;4;912115;945;4
2025;3;945012;945;7
2025;3;999214;902;6
2025;4;999227;926;34
2025;3;999208;966;13
2025;4;918120;941;95
2025;4;944043;944;21
2025;4;944044;944;21
2025;4;999216;944;13
2025;4;907120;908;8
2025;4;973011;973;20
2025;3;953067;952;70
2025;3;999206;952;58
2025;3;907108;930;1
2025;3;907113;930;1
2025;3;907120;930;1
2025;3;999202;930;1
2025;3;918012;684;1
2025;4;918046;684;1
2025;3;999201;914;12
2025;3;908058;915;4
2025;3;908099;915;8
2025;3;904054;929;1
2025;3;937004;937;79
2025;4;999211;925;9
2025;4;999217;925;9
2025;3;912067;937;10
2025;3;934029;937;10
2025;3;934033;937;11
2025;3;947047;947;8
2025;3;919076;684;40
2025;4;999212;967;118
2025;4;977020;977;39
2025;4;977023;977;39
2025;3;934039;934;21
2025;4;900015;962;4
2025;3;900015;957;18
2025;4;994013;994;25
2025;4;912130;908;26
2025;4;913079;958;34
2025;3;999205;919;22
2025;4;912116;952;21
